Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9680964,0.999597,0.9996372000000001,0.9696632,0.9987615999999999,0.9374307999999999
0.25,0.967933,0.9993876,0.9993947999999999,0.9694998,0.9984348000000001,0.9374307999999999
0.5,0.966676,0.9988896,0.9989226,0.9682366,0.9959206,0.9374307999999999
1.0,0.9619298000000001,0.997527,0.9977034,0.9634352000000002,0.9864286,0.9374307999999999
5.0,0.8636647999999999,0.9545454,0.9596522000000001,0.851084,0.7898988,0.9374307999999999
10.0,0.7215598,0.8566322,0.8705874000000001,0.6383274,0.5056886,0.9374307999999999
25.0,0.5682176,0.6730463999999999,0.6813542000000001,0.3059798,0.19900420000000002,0.9374307999999999
50.0,0.5201376000000001,0.5793316,0.5786476,0.16904740000000001,0.10284440000000002,0.9374307999999999
75.0,0.5082344,0.5483309999999999,0.5460149999999999,0.131536,0.0790376,0.9374307999999999
100.0,0.5058642,0.534258,0.5335078,0.12390140000000001,0.0742976,0.9374307999999999
