mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
topk4,1,topk4-warmup,1,0.3721340220895166,517.2037215232849,1212.7861328125
topk4,1,topk4-warmup,2,0.3137899557485526,497.41739654541016,1212.7861328125
topk4,1,topk4-unfrozen,1,0.25094619004207835,763.4712545871735,2008.73681640625
topk4,1,topk4-unfrozen,2,0.20585662485109166,763.1108057498932,2008.73681640625
topk4,1,topk4-unfrozen,3,0.18665347675805244,762.5984427928925,2008.73681640625
topk4,2,topk4-warmup,1,0.3713207399346551,502.1949017047882,1212.9111328125
topk4,2,topk4-warmup,2,0.3023880902901852,502.65215134620667,1212.9111328125
topk4,2,topk4-unfrozen,1,0.22788508616990052,772.0536370277405,2010.61181640625
topk4,2,topk4-unfrozen,2,0.18178757631633066,771.6541614532471,2009.61181640625
topk4,2,topk4-unfrozen,3,0.16909449551730676,772.4684989452362,2009.61181640625
topk4,3,topk4-warmup,1,0.3714391108289475,494.5830628871918,1212.9111328125
topk4,3,topk4-warmup,2,0.3131783791455149,494.3818497657776,1212.9111328125
topk4,3,topk4-unfrozen,1,0.254394719755732,761.1930155754089,2010.61181640625
topk4,3,topk4-unfrozen,2,0.19261645648507614,761.2726106643677,2009.61181640625
topk4,3,topk4-unfrozen,3,0.18333415703968864,762.091717004776,2009.61181640625
