lambda,fold,epoch,loss,epoch_seconds,peak_gpu_mem_mb
50.0,1,1,0.6978598174988659,822.5498676300049,2907.58251953125
50.0,1,2,0.6934664950761885,800.621321439743,2907.58251953125
50.0,1,3,0.6951517035908503,799.674250125885,2907.58251953125
50.0,1,4,0.6933521628379822,800.5130558013916,2907.58251953125
50.0,1,5,0.6933518668830583,800.7389268875122,2907.20751953125
50.0,2,1,0.6997711094598922,796.5747487545013,2909.08837890625
50.0,2,2,0.6935270527052501,796.125360250473,2909.43798828125
50.0,2,3,0.6937393629361712,797.0371253490448,2909.08837890625
50.0,2,4,0.6934439757513622,796.3435111045837,2908.71337890625
50.0,2,5,0.6945260344989717,796.912216424942,2909.08837890625
50.0,3,1,0.6995370821519331,806.8141648769379,2909.08837890625
50.0,3,2,0.69522199903536,806.7127823829651,2909.28173828125
50.0,3,3,0.6936467108681658,807.2157492637634,2909.08837890625
50.0,3,4,0.6933287456865221,801.4661498069763,2909.08837890625
50.0,3,5,0.6932999691619395,802.5477039813995,2909.08837890625
50.0,4,1,0.7005140340026421,799.0142571926117,2909.08837890625
50.0,4,2,0.6942281494789486,798.1927626132965,2909.08837890625
50.0,4,3,0.6934970290977743,797.8163161277771,2909.08837890625
50.0,4,4,0.693558355675468,798.808426618576,2909.08837890625
50.0,4,5,0.6933856276394446,762.8227400779724,2909.08837890625
50.0,5,1,0.6989014082694356,800.2955453395844,2909.08837890625
50.0,5,2,0.6943835702878011,799.0316560268402,2909.08837890625
50.0,5,3,0.6939220313407197,798.0122821331024,2908.33837890625
50.0,5,4,0.6939613575799556,798.2273519039154,2909.08837890625
50.0,5,5,0.6933191199845905,795.0537626743317,2909.43798828125
