lambda,fold,epoch,loss,epoch_seconds,peak_gpu_mem_mb
25.0,1,1,0.6953793228236659,814.9633085727692,2907.58251953125
25.0,1,2,0.6890385500640147,793.2404823303223,2907.58251953125
25.0,1,3,0.6881278446796188,791.9584195613861,2907.58251953125
25.0,1,4,0.6770817011312732,792.2733533382416,2907.58251953125
25.0,1,5,0.6783958663135673,792.3581948280334,2907.20751953125
25.0,2,1,0.6954804702410622,789.9272358417511,2909.08837890625
25.0,2,2,0.6846671055233667,787.7552094459534,2909.43798828125
25.0,2,3,0.676143636495348,787.5076882839203,2909.08837890625
25.0,2,4,0.6672373156698923,787.971578836441,2908.71337890625
25.0,2,5,0.6586214900016785,787.1321523189545,2909.08837890625
25.0,3,1,0.7023296645816217,797.7415685653687,2909.08837890625
25.0,3,2,0.6940617296015581,797.6605160236359,2909.28173828125
25.0,3,3,0.6932193633157258,798.0670189857483,2909.08837890625
25.0,3,4,0.693013462153348,799.311206817627,2909.08837890625
25.0,3,5,0.6934364989259774,797.372878074646,2909.08837890625
25.0,4,1,0.7000389442413668,791.9393746852875,2909.08837890625
25.0,4,2,0.6945557813101177,789.8248121738434,2909.08837890625
25.0,4,3,0.693392887711525,789.9821236133575,2909.08837890625
25.0,4,4,0.693350243040278,785.0642886161804,2909.08837890625
25.0,4,5,0.693327424081066,786.4684255123138,2909.08837890625
25.0,5,1,0.6988801324292074,791.046174287796,2909.08837890625
25.0,5,2,0.6936278763828398,789.5287249088287,2909.08837890625
25.0,5,3,0.6934038730739038,789.9756672382355,2908.33837890625
25.0,5,4,0.6933481493328191,787.7775402069092,2909.08837890625
25.0,5,5,0.6933792769154415,788.6763091087341,2909.43798828125
