lambda,fold,epoch,loss,epoch_seconds,peak_gpu_mem_mb
75.0,1,1,0.6997215394341983,822.4991254806519,2907.58251953125
75.0,1,2,0.6941767099903962,800.8221321105957,2907.58251953125
75.0,1,3,0.6948123767924985,800.8543019294739,2907.58251953125
75.0,1,4,0.6939131850699897,800.6162512302399,2907.58251953125
75.0,1,5,0.6940290969252962,800.5047690868378,2907.20751953125
75.0,2,1,0.7000944799847073,795.8161315917969,2909.08837890625
75.0,2,2,0.6954580942789713,796.0276539325714,2909.43798828125
75.0,2,3,0.6947433325979445,796.1825346946716,2909.08837890625
75.0,2,4,0.6938867820633783,795.6608765125275,2908.71337890625
75.0,2,5,0.6936462133649796,796.1412184238434,2909.08837890625
75.0,3,1,0.700825224102104,805.1348803043365,2909.08837890625
75.0,3,2,0.6950723379383267,803.9317553043365,2909.28173828125
75.0,3,3,0.6935969316473575,804.266571521759,2909.08837890625
75.0,3,4,0.6934608630252108,801.3008086681366,2909.08837890625
75.0,3,5,0.6932831163690382,799.1579084396362,2909.08837890625
75.0,4,1,0.7024467410166052,798.792325258255,2909.08837890625
75.0,4,2,0.6947417842059196,799.3532817363739,2909.08837890625
75.0,4,3,0.6949734244542786,798.4816153049469,2909.08837890625
75.0,4,4,0.6935581331011615,798.7106857299805,2909.08837890625
75.0,4,5,0.693486570180217,797.0565602779388,2909.08837890625
75.0,5,1,0.6983688486905038,798.5093731880188,2909.08837890625
75.0,5,2,0.6942872882266587,797.5328314304352,2909.08837890625
75.0,5,3,0.6939429433285436,797.5846910476685,2908.33837890625
75.0,5,4,0.6936940858258477,796.0073530673981,2909.08837890625
75.0,5,5,0.6934995602203321,791.9259941577911,2909.43798828125
