lambda,fold,epoch,loss,epoch_seconds,peak_gpu_mem_mb
10.0,1,1,0.56068610148475,840.7218563556671,2907.58251953125
10.0,1,2,0.4935824616756349,817.66699051857,2907.58251953125
10.0,1,3,0.45390743839815967,816.0970413684845,2907.58251953125
10.0,1,4,0.4164144800570485,815.825318813324,2907.58251953125
10.0,1,5,0.38704300276958603,815.8661181926727,2907.20751953125
10.0,2,1,0.5728300297071063,811.0175721645355,2909.08837890625
10.0,2,2,0.4740732773428872,809.3783280849457,2909.43798828125
10.0,2,3,0.43898358160541173,811.0274665355682,2909.08837890625
10.0,2,4,0.40684868901494947,806.7504932880402,2908.71337890625
10.0,2,5,0.38181375891916336,810.8327522277832,2909.08837890625
10.0,3,1,0.5681923407372262,821.9834659099579,2909.08837890625
10.0,3,2,0.4913530446425501,821.1697752475739,2909.28173828125
10.0,3,3,0.4459327552292414,821.0306053161621,2909.08837890625
10.0,3,4,0.3964077321152702,818.1110551357269,2909.08837890625
10.0,3,5,0.37841815503787096,820.1221940517426,2909.08837890625
10.0,4,1,0.5751977388428736,812.2306454181671,2909.08837890625
10.0,4,2,0.4863397376258162,812.3139007091522,2909.08837890625
10.0,4,3,0.45019437023733233,806.3362956047058,2909.08837890625
10.0,4,4,0.42574389014817493,810.32204246521,2909.08837890625
10.0,4,5,0.4043491966079307,806.1759083271027,2909.08837890625
10.0,5,1,0.5488251829637757,805.3297398090363,2909.08837890625
10.0,5,2,0.47786955747611914,809.5032103061676,2909.08837890625
10.0,5,3,0.42469676798563216,809.6933703422546,2908.33837890625
10.0,5,4,0.4072083581380452,809.7109370231628,2909.08837890625
10.0,5,5,0.38218810105154033,810.6200821399689,2909.43798828125
