mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
full,1,full,1,0.254165114739475,1318.3982117176056,2907.58251953125
full,1,full,2,0.2106312691610469,1299.1573045253754,2907.58251953125
full,1,full,3,0.18153032476163736,1298.6469898223877,2907.58251953125
full,1,full,4,0.17065172966753453,1295.6934804916382,2907.58251953125
full,1,full,5,0.1637982052434554,1301.0956647396088,2907.20751953125
full,2,full,1,0.2581954568526463,1309.2618157863617,2909.08837890625
full,2,full,2,0.19471640849514002,1306.8460206985474,2909.08837890625
full,2,full,3,0.1588955584727928,1310.1862382888794,2909.08837890625
full,2,full,4,0.15007471495581076,1311.3800616264343,2909.08837890625
full,2,full,5,0.14874970811748303,1312.0142178535461,2909.08837890625
full,3,full,1,0.264857851338523,1293.9754951000214,2909.08837890625
full,3,full,2,0.20379617018536272,1292.0496623516083,2909.08837890625
full,3,full,3,0.17885060105846043,1290.7822699546814,2909.08837890625
full,3,full,4,0.15765990262125967,1293.9880816936493,2908.71337890625
full,3,full,5,0.16474802716269038,1291.5309553146362,2909.08837890625
