Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9709236666666667,0.999683,0.9997046666666667,0.9718703333333334,0.9990476666666667,0.9427996666666667
0.25,0.9695003333333334,0.9991613333333333,0.999203,0.9704423333333333,0.9962,0.9427996666666667
0.5,0.966824,0.9980483333333333,0.998208,0.967753,0.9908480000000001,0.9427996666666667
1.0,0.9603420000000001,0.9951986666666667,0.9957860000000002,0.9611719999999999,0.977884,0.9427996666666667
5.0,0.7968486666666666,0.9105543333333334,0.9181436666666668,0.7611816666666668,0.6508976666666667,0.9427996666666667
10.0,0.6262193333333334,0.7647606666666666,0.7711770000000001,0.45041333333333333,0.309638,0.9427996666666667
25.0,0.5225633333333334,0.593738,0.5851606666666667,0.1740016666666667,0.10232733333333333,0.9427996666666667
50.0,0.5044093333333334,0.5334566666666666,0.5272070000000001,0.115577,0.06601866666666667,0.9427996666666667
75.0,0.5011043333333333,0.5170523333333333,0.5137496666666667,0.10444133333333334,0.05940900000000001,0.9427996666666667
100.0,0.500166,0.5103853333333334,0.5086616666666667,0.10126933333333332,0.05753233333333333,0.9427996666666667
