mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
frozen,1,frozen,1,0.3721340220895166,520.421703338623,1212.7861328125
frozen,1,frozen,2,0.3137899557485526,499.80199337005615,1212.7861328125
frozen,1,frozen,3,0.2930793708907811,499.5754852294922,1212.7861328125
frozen,1,frozen,4,0.29630510150622824,499.46450209617615,1212.7861328125
frozen,1,frozen,5,0.2797775524730248,500.17002987861633,1212.7861328125
frozen,2,frozen,1,0.3713207399346551,504.5136022567749,1212.9111328125
frozen,2,frozen,2,0.3023880902901852,505.2342700958252,1212.9111328125
frozen,2,frozen,3,0.27815457996457144,504.6893217563629,1212.9111328125
frozen,2,frozen,4,0.27310263969116194,504.9378819465637,1212.9111328125
frozen,2,frozen,5,0.27752777209323376,504.9326956272125,1212.9111328125
frozen,3,frozen,1,0.3714391108289475,497.52000665664673,1212.9111328125
frozen,3,frozen,2,0.3131783791455149,497.61925506591797,1212.9111328125
frozen,3,frozen,3,0.29568743584890855,498.0452973842621,1212.9111328125
frozen,3,frozen,4,0.27591020332379196,497.93951439857483,1212.9111328125
frozen,3,frozen,5,0.2709160149168536,498.86747789382935,1212.9111328125
