lambda,fold,epoch,loss,epoch_seconds,peak_gpu_mem_mb
5.0,1,1,0.3800235586681577,836.5952708721161,2907.58251953125
5.0,1,2,0.26090607154021506,813.8585200309753,2907.58251953125
5.0,1,3,0.22866511572892734,813.6383142471313,2907.58251953125
5.0,1,4,0.1973989715693924,812.9547901153564,2907.58251953125
5.0,1,5,0.1994232925753864,812.5944366455078,2907.20751953125
5.0,2,1,0.3951622373291424,805.721314907074,2909.08837890625
5.0,2,2,0.2710466804130683,806.943436384201,2909.43798828125
5.0,2,3,0.23446266233093208,806.6567935943604,2909.08837890625
5.0,2,4,0.2000372811974514,806.6031308174133,2908.71337890625
5.0,2,5,0.2029419079245556,806.3347194194794,2909.08837890625
5.0,3,1,0.38240117055355194,818.1457438468933,2909.08837890625
5.0,3,2,0.2548806020949141,817.5435514450073,2909.28173828125
5.0,3,3,0.21722784201646672,816.5213170051575,2909.08837890625
5.0,3,4,0.20078814825843028,817.4127082824707,2909.08837890625
5.0,3,5,0.18309199711056806,816.9223589897156,2909.08837890625
5.0,4,1,0.3895076949951015,811.3214387893677,2909.08837890625
5.0,4,2,0.2819983771283038,810.480254650116,2909.08837890625
5.0,4,3,0.23358702700278616,811.8689420223236,2909.08837890625
5.0,4,4,0.2128560880399486,816.3932189941406,2909.08837890625
5.0,4,5,0.1961427706034406,812.2138822078705,2909.08837890625
5.0,5,1,0.38107304635775996,810.1802754402161,2909.08837890625
5.0,5,2,0.2800401170985608,811.9295887947083,2909.08837890625
5.0,5,3,0.22673868598958738,809.0811688899994,2908.33837890625
5.0,5,4,0.21525089681897125,808.6946144104004,2909.08837890625
5.0,5,5,0.17811962395694247,808.6027734279633,2909.43798828125
