mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
topk4,1,topk4-warmup,1,0.3655146206450011,615.0856561660767,1212.7861328125
topk4,1,topk4-warmup,2,0.30833639407219005,593.6740915775299,1212.7861328125
topk4,1,topk4-unfrozen,1,0.24656468113349628,912.2194831371307,2008.73681640625
topk4,1,topk4-unfrozen,2,0.19791828562896288,913.7977409362793,2008.98681640625
topk4,1,topk4-unfrozen,3,0.18174271209588516,913.1363158226013,2008.98681640625
topk4,2,topk4-warmup,1,0.36116575829329944,588.4781591892242,1212.9111328125
topk4,2,topk4-warmup,2,0.295067010264075,589.7135834693909,1212.9111328125
topk4,2,topk4-unfrozen,1,0.24331927393518743,909.6569197177887,2010.61181640625
topk4,2,topk4-unfrozen,2,0.1876016101962517,908.2790033817291,2009.61181640625
topk4,2,topk4-unfrozen,3,0.17857976614660215,908.3662366867065,2009.61181640625
topk4,3,topk4-warmup,1,0.35889764882180386,598.2991676330566,1212.9111328125
topk4,3,topk4-warmup,2,0.2989639642073256,598.1751387119293,1212.9111328125
topk4,3,topk4-unfrozen,1,0.23563668891775852,920.0396249294281,2010.61181640625
topk4,3,topk4-unfrozen,2,0.18820428996431557,921.0353872776031,2009.61181640625
topk4,3,topk4-unfrozen,3,0.1710165397769138,919.8808546066284,2009.61181640625
topk4,4,topk4-warmup,1,0.3679911443209158,593.0354251861572,1212.9111328125
topk4,4,topk4-warmup,2,0.29798126269627034,594.5899980068207,1212.9111328125
topk4,4,topk4-unfrozen,1,0.24994980488296692,914.9704191684723,2010.61181640625
topk4,4,topk4-unfrozen,2,0.1938636405747148,914.8978395462036,2009.61181640625
topk4,4,topk4-unfrozen,3,0.17224227751515322,915.0001728534698,2009.61181640625
topk4,5,topk4-warmup,1,0.3673901695970304,595.0412454605103,1212.9111328125
topk4,5,topk4-warmup,2,0.30046855209135936,596.2910854816437,1212.9111328125
topk4,5,topk4-unfrozen,1,0.2405202636182827,915.4278104305267,2010.61181640625
topk4,5,topk4-unfrozen,2,0.19326818286282116,913.2826116085052,2009.61181640625
topk4,5,topk4-unfrozen,3,0.17226676027514512,913.3777983188629,2009.61181640625
