Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9663974,0.9998266000000001,0.9998373999999999,0.9681934,0.9993808,0.9334142
0.25,0.9663974,0.9996572,0.9996668,0.9681934,0.9993808,0.9334142
0.5,0.9659182,0.9993191999999999,0.9993509999999999,0.9677140000000002,0.9984225999999999,0.9334142
1.0,0.9627654,0.998283,0.9984162000000001,0.9645416000000001,0.9921164000000001,0.9334142
5.0,0.8847618,0.9613406,0.9654260000000001,0.8785149999999999,0.8361090000000001,0.9334142
10.0,0.741665,0.8639248,0.8763083999999999,0.6752836,0.5499158,0.9334142
25.0,0.5711814,0.672886,0.6786411999999999,0.3184272,0.2089488,0.9334142
50.0,0.5210505999999999,0.5759392000000001,0.5725824,0.17733919999999997,0.1086862,0.9334142
75.0,0.5110762,0.5448874,0.541418,0.1457664,0.08873800000000001,0.9334142
100.0,0.5071123999999999,0.5306704,0.5288573999999999,0.1329376,0.0808102,0.9334142
