lambda,fold,epoch,loss,epoch_seconds,peak_gpu_mem_mb
100.0,1,1,0.6992506591679546,849.2969472408295,2907.58251953125
100.0,1,2,0.6936443948219251,830.0720763206482,2907.58251953125
100.0,1,3,0.6933336566299294,828.3500008583069,2907.58251953125
100.0,1,4,0.6933077524889155,829.5051071643829,2907.58251953125
100.0,1,5,0.6943170789288422,828.7159667015076,2907.20751953125
100.0,2,1,0.7001153351768615,824.7740650177002,2909.08837890625
100.0,2,2,0.6938740134239196,824.9913423061371,2909.43798828125
100.0,2,3,0.694493497742547,826.092737197876,2909.08837890625
100.0,2,4,0.6933662734334431,825.070921421051,2908.71337890625
100.0,2,5,0.6936122886718266,825.192841053009,2909.08837890625
100.0,3,1,0.7013670561081937,834.6657345294952,2909.08837890625
100.0,3,2,0.6949092872837868,834.5250010490417,2909.28173828125
100.0,3,3,0.6936097472065295,835.3445756435394,2909.08837890625
100.0,3,4,0.6943720736100009,834.121593952179,2909.08837890625
100.0,3,5,0.6932881375465273,832.9759721755981,2909.08837890625
100.0,4,1,0.7022687074127076,827.6125926971436,2909.08837890625
100.0,4,2,0.6941641176803203,827.5939853191376,2909.08837890625
100.0,4,3,0.6934796177510973,827.6711831092834,2909.08837890625
100.0,4,4,0.6933739811559266,827.3970239162445,2909.08837890625
100.0,4,5,0.6940935369156584,827.1896171569824,2909.08837890625
100.0,5,1,0.698296737633174,826.8586297035217,2909.08837890625
100.0,5,2,0.6945140082624894,827.290073633194,2909.08837890625
100.0,5,3,0.6937054167442684,827.0920724868774,2908.33837890625
100.0,5,4,0.6936232066607173,826.6324343681335,2909.08837890625
100.0,5,5,0.6937478982572314,830.848138332367,2909.43798828125
