Lambda,accuracy,auroc,auprc,f1,sensitivity,specificity
0.0,0.9774526666666666,0.9997413333333335,0.9998013333333334,0.9779646666666667,0.9987323333333333,0.9561726666666667
0.25,0.9774493333333333,0.9996026666666666,0.9996499999999999,0.9779616666666667,0.9987256666666666,0.9561726666666667
0.5,0.9764923333333334,0.9991096666666667,0.999244,0.977002,0.9968116666666665,0.9561726666666667
1.0,0.9729983333333333,0.997988,0.9982673333333333,0.9734813333333333,0.9898239999999999,0.9561726666666667
5.0,0.8698716666666666,0.9501863333333332,0.9576416666666668,0.8571203333333334,0.7835703333333334,0.9561726666666667
10.0,0.7226563333333335,0.843052,0.8641103333333332,0.6369370000000001,0.48913999999999996,0.9561726666666667
25.0,0.5597976666666666,0.6505456666666666,0.664863,0.2692926666666667,0.16342266666666666,0.9561726666666667
50.0,0.5137163333333334,0.557152,0.5537386666666667,0.12676166666666666,0.07126,0.9561726666666667
75.0,0.5051693333333334,0.5282779999999999,0.523687,0.09768500000000001,0.05416633333333334,0.9561726666666667
100.0,0.5017036666666667,0.51658,0.5131506666666666,0.08571466666666668,0.047235000000000006,0.9561726666666667
