mode,fold,phase,epoch,loss,epoch_seconds,peak_gpu_mem_mb
topk2,1,topk2-warmup,1,0.3721340220895166,513.1129443645477,1212.7861328125
topk2,1,topk2-warmup,2,0.3137899557485526,491.77178382873535,1212.7861328125
topk2,1,topk2-unfrozen,1,0.2694482713146047,623.2205097675323,1786.39697265625
topk2,1,topk2-unfrozen,2,0.22883334383368492,624.4957478046417,1786.42822265625
topk2,1,topk2-unfrozen,3,0.20392326804044067,624.4236817359924,1786.39697265625
topk2,2,topk2-warmup,1,0.3713207399346551,497.10321593284607,1212.9111328125
topk2,2,topk2-warmup,2,0.3023880902901852,498.91132521629333,1212.9111328125
topk2,2,topk2-unfrozen,1,0.25296262422352467,631.9204721450806,1787.27197265625
topk2,2,topk2-unfrozen,2,0.2030193003636778,630.9604277610779,1787.27197265625
topk2,2,topk2-unfrozen,3,0.19217115962751827,630.7740898132324,1787.27197265625
topk2,3,topk2-warmup,1,0.3714391108289475,491.05627727508545,1212.9111328125
topk2,3,topk2-warmup,2,0.3131783791455149,494.2186715602875,1212.9111328125
topk2,3,topk2-unfrozen,1,0.2758998863740277,621.2291097640991,1787.27197265625
topk2,3,topk2-unfrozen,2,0.21443391012610824,620.5630114078522,1787.27197265625
topk2,3,topk2-unfrozen,3,0.1985318192408797,624.0276329517365,1787.27197265625
